latitude,longitude,number,Mean_WPD_kW_per_m
4.5,5.0,0,8.6188
4.5,5.5,0,7.1273
4.5,6.0,0,1.4247
4.5,6.5,0,
4.5,7.0,0,2.9002
4.5,7.5,0,2.0687
4.5,8.0,0,
4.5,8.5,0,0.7331
4.5,9.0,0,
4.5,9.5,0,
4.5,10.0,0,
4.0,-5.0,0,9.0335
4.0,-4.5,0,9.0434
4.0,-4.0,0,9.0534
4.0,-3.5,0,9.0741
4.0,-3.0,0,9.11
4.0,-2.5,0,9.1454
4.0,-2.0,0,9.103
4.0,-1.5,0,9.0833
4.0,-1.0,0,9.1105
4.0,-0.5,0,9.2255
4.0,0.0,0,9.2472
4.0,0.5,0,9.2569
4.0,1.0,0,9.2658
4.0,1.5,0,9.2731
4.0,2.0,0,9.2779
4.0,2.5,0,9.2823
4.0,3.0,0,9.2815
4.0,3.5,0,9.2759
4.0,4.0,0,9.2559
4.0,4.5,0,9.1952
4.0,5.0,0,9.0764
4.0,5.5,0,7.8799
4.0,6.0,0,6.1077
4.0,6.5,0,6.6904
4.0,7.0,0,6.0141
4.0,7.5,0,5.4505
4.0,8.0,0,5.2668
4.0,8.5,0,2.6959
4.0,9.0,0,1.6975
4.0,9.5,0,0.5101
4.0,10.0,0,
3.5,-5.0,0,9.1942
3.5,-4.5,0,9.1973
3.5,-4.0,0,9.2058
3.5,-3.5,0,9.2295
3.5,-3.0,0,9.2699
3.5,-2.5,0,9.3166
3.5,-2.0,0,9.3548
3.5,-1.5,0,9.3798
3.5,-1.0,0,9.3924
3.5,-0.5,0,9.3972
3.5,0.0,0,9.4004
3.5,0.5,0,9.4035
3.5,1.0,0,9.4084
3.5,1.5,0,9.4124
3.5,2.0,0,9.415
3.5,2.5,0,9.4156
3.5,3.0,0,9.4122
3.5,3.5,0,9.4024
3.5,4.0,0,9.3804
3.5,4.5,0,9.3232
3.5,5.0,0,9.2237
3.5,5.5,0,9.0247
3.5,6.0,0,8.4989
3.5,6.5,0,7.6396
3.5,7.0,0,6.8945
3.5,7.5,0,6.0094
3.5,8.0,0,6.1026
3.5,8.5,0,3.8919
3.5,9.0,0,2.6855
3.5,9.5,0,2.1138
3.5,10.0,0,
3.0,-5.0,0,9.347
3.0,-4.5,0,9.3434
3.0,-4.0,0,9.3481
3.0,-3.5,0,9.3738
3.0,-3.0,0,9.4189
3.0,-2.5,0,9.4685
3.0,-2.0,0,9.5055
3.0,-1.5,0,9.5284
3.0,-1.0,0,9.5394
3.0,-0.5,0,9.5423
3.0,0.0,0,9.5448
3.0,0.5,0,9.5454
3.0,1.0,0,9.55
3.0,1.5,0,9.5538
3.0,2.0,0,9.5553
3.0,2.5,0,9.5544
3.0,3.0,0,9.547
3.0,3.5,0,9.5326
3.0,4.0,0,9.5074
3.0,4.5,0,9.4484
3.0,5.0,0,9.3461
3.0,5.5,0,9.1552
3.0,6.0,0,8.726
3.0,6.5,0,7.7151
3.0,7.0,0,6.8489
3.0,7.5,0,5.6003
3.0,8.0,0,6.3173
3.0,8.5,0,6.1782
3.0,9.0,0,4.9854
3.0,9.5,0,3.5047
3.0,10.0,0,
2.5,-5.0,0,9.4978
2.5,-4.5,0,9.4853
